tick,score,bits,is_best
38,6.0,0111101110011100,0
39,8.0,1010100111110001,0
40,12.0,0001010100110101,1
41,8.0,0011101101111001,0
42,10.0,1100010110101110,0
43,8.0,1111101000101000,0
44,6.0,1000000011001001,0
45,12.0,0101001010001010,0
46,10.0,1011011010110000,0
47,8.0,0000110101110110,0
48,4.0,0011100010000000,0
49,4.0,0010001111111110,0
50,6.0,1110001001111011,0
51,10.0,0110010100100011,0
52,12.0,1011001010101100,0
53,10.0,0000110010101011,0
54,10.0,0001010011001101,0
55,8.0,0100011000101000,0
56,4.0,1111111011000000,0
57,8.0,1001010001100111,0
58,10.0,1001010100111000,0
59,6.0,0011110000011001,0
60,6.0,1110011110011100,0
61,6.0,1001111000010111,0
62,8.0,1000000101010011,0
63,8.0,1110001001000010,0
64,6.0,1011111011111011,0
65,6.0,0110001111100110,0
66,6.0,0001110000110011,0
67,8.0,1111101001010001,0
68,6.0,0000000101111011,0
69,10.0,1101010110110111,0
70,10.0,1001010111001101,0
71,8.0,1111100100010100,0
72,4.0,1111000000001001,0
73,10.0,1100110101011110,0
74,10.0,1011010011011100,0
75,6.0,0000010011101111,0
76,6.0,1100101000001111,0
77,6.0,1100100000111101,0
78,6.0,1000111101111100,0
79,8.0,0011101110110011,0
80,6.0,1001111110111001,0
81,6.0,0111110000010111,0
82,8.0,0000010001001011,0
83,12.0,0101100110101001,0
84,8.0,1111001011001101,0
85,10.0,0010111010110001,0
86,6.0,0000100010011100,0
87,10.0,1100100010110101,0
88,10.0,1011011100101001,0
89,10.0,0111101001000101,0
90,8.0,1001110110111001,0
91,6.0,1111101101100000,0
92,8.0,0011001110100100,0
93,8.0,0110000010011101,0
94,8.0,1010010000010111,0
95,10.0,0111011010110111,0
96,8.0,1111001100110101,0
97,10.0,0010000110101101,0
98,6.0,1011000011100011,0
99,8.0,0100110000100010,0
100,6.0,1111111011011011,0
101,2.0,0001111100000000,0
102,8.0,0000101001110100,0
103,10.0,1001011001110010,0
104,8.0,0110011000111011,0
105,10.0,0110010100100100,0
106,10.0,0011110101001001,0
107,6.0,0100011110000111,0
108,8.0,0111011100110010,0
109,6.0,1001111011110001,0
110,8.0,1011011111011101,0
111,6.0,0101101110000000,0
112,8.0,0110001011101110,0
113,10.0,0101001000011011,0
114,8.0,0000101011000001,0
115,10.0,0100101101010000,0
116,8.0,1100111010001001,0
117,6.0,0010110000111000,0
118,6.0,0110110000000010,0
119,10.0,0110010111001001,0
120,10.0,0100110101000001,0
121,8.0,0101111000011001,0
122,6.0,0000100001010000,0
123,6.0,1110101111000011,0
124,12.0,0100010101000101,0
125,8.0,0100001011110110,0
126,10.0,0111010010111011,0
127,8.0,0010101100011110,0
128,12.0,0101001010101100,0
129,10.0,0100100101000011,0
130,8.0,0001100001101001,0
131,6.0,0010000110010000,0
132,8.0,1000010111001000,0
133,8.0,1011100011011110,0
134,8.0,0110001100110011,0
135,8.0,0010001100011010,0
136,8.0,1101010001000011,0
137,10.0,1001011001000100,0
138,10.0,1100101000100101,0
139,12.0,1011010001101010,0
140,6.0,0111001011111111,0
141,6.0,0001100011101111,0
142,10.0,1100010110111010,0
143,8.0,1011100100111101,0
144,6.0,1101111011111110,0
145,12.0,1011011010010101,0
146,10.0,1011011011110010,0
147,10.0,0010111010100100,0
148,8.0,0101001111100001,0
149,8.0,1100101000100111,0
150,8.0,1101001001001111,0
151,6.0,0100001110000010,0
152,10.0,0101011111001011,0
153,8.0,0000010010100100,0
154,4.0,0000001100100000,0
155,10.0,1011010100011101,0
156,4.0,0011100000001100,0
157,10.0,1010001100110110,0
158,6.0,1111000010001110,0
159,10.0,1100110010100010,0
160,12.0,1101101010010100,0
161,8.0,0001010001000100,0
162,10.0,1001001011011101,0
163,8.0,0001011001111001,0
164,6.0,0000000010100011,0
165,6.0,0000001100001001,0
166,4.0,0111100000011110,0
167,12.0,0110110100101010,0
168,8.0,1000100110100111,0
169,8.0,1000111000110010,0
170,10.0,0000101001000101,0
171,6.0,1100000100100011,0
172,10.0,0010101001110100,0
173,8.0,0111000011010001,0
174,10.0,1011101100101101,0
175,6.0,1000100000111100,0
176,4.0,0111000001100000,0
177,4.0,0000000100000111,0
178,8.0,1011011100000100,0
179,8.0,1011100111110110,0
180,6.0,0011110101111100,0
181,12.0,0100100101101010,0
182,6.0,0100000011110010,0
183,6.0,1101011111111011,0
184,8.0,0111000010010011,0
185,10.0,0101000010001001,0
186,6.0,0001111011001100,0
187,6.0,1110010011111001,0
188,6.0,1111111001000101,0
189,6.0,0010111100000011,0
190,10.0,1000101100101100,0
191,8.0,0011110010110100,0
192,6.0,1100011011011111,0
193,6.0,1110011011000011,0
194,8.0,1100110001100110,0
195,6.0,0011101110000100,0
196,8.0,1110110111100110,0
197,8.0,0110101000011100,0
198,8.0,0011100011001011,0
199,8.0,0010000111011101,0
200,10.0,0101001000001010,0
201,8.0,1111001011110100,0
202,6.0,1000111011111001,0
203,8.0,1101110101111101,0
204,8.0,1001101000111001,0
205,10.0,1010101000111011,0
206,8.0,0001101000100010,0
207,6.0,0010100000001000,0
208,8.0,1010000010011001,0
209,6.0,1001111110110111,0
210,4.0,1001110000011111,0
211,8.0,1010000100100001,0
212,8.0,0010011011110011,0
213,8.0,0110110011100110,0
214,6.0,0000000011001001,0
215,4.0,0111000000000010,0
216,8.0,0011100101000100,0
217,8.0,1101001100110001,0
218,6.0,1111100010001100,0
219,10.0,0101100100101110,0
220,6.0,0011010000000001,0
221,8.0,1000001101011011,0
222,6.0,1000000011000101,0
223,8.0,0100011101100100,0
224,8.0,1001000010010001,0
225,6.0,1111110100111011,0
226,12.0,1010110100001010,0
227,4.0,1110000110000011,0
228,10.0,1110101100100101,0
229,6.0,0110011110000001,0
